"Player","Pos","Tm","X3PA","X2PA","FGA","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Robert Covington","SF","TOT",225,137,362,89,28,165,46,74,47,47,126,10464092
"Allen Crabbe","SG","BRK",259,114,373,56,16,132,46,23,13,46,102,18500000
"Torrey Craig","SF","DEN",188,174,362,70,89,174,72,37,46,44,175,2e+06
"Jamal Crawford","SG","PHO",202,236,438,110,8,77,229,33,12,99,75,2393887
"Mitch Creek","SF","TOT",2,14,16,7,6,6,6,2,0,1,3,94742
"Jae Crowder","SF","UTA",522,275,797,197,60,324,133,64,31,85,170,7305825
"Dante Cunningham","PF","SAS",65,93,158,18,48,140,50,27,13,22,71,2500000
"Seth Curry","SG","POR",251,214,465,52,27,93,66,36,12,61,97,2795000
"Stephen Curry","PG","GSW",810,530,1340,287,45,324,361,92,25,192,166,37457154
"Troy Daniels","SG","PHO",194,81,275,23,13,60,26,26,5,27,79,3258539
"Anthony Davis","C","NOP",145,881,1026,433,174,498,218,88,135,112,132,25434263
"Deyonta Davis","C","ATL",1,21,22,10,10,26,5,3,5,3,12,1544951
"Ed Davis","C","BRK",2,300,302,162,216,478,61,35,33,64,226,4449000
"Tyler Davis","C","OKC",0,1,1,0,1,0,0,0,0,0,0,3206640
"Dewayne Dedmon","C","ATL",217,309,526,113,105,375,90,69,71,84,214,7200000
"Sam Dekker","PF","TOT",62,194,256,46,53,95,46,38,7,24,47,2760095
"Angel Delgado","C","LAC",0,5,5,2,2,2,0,1,0,0,2,3206640
"Matthew Dellavedova","PG","TOT",130,112,242,52,6,71,181,14,2,68,75,9607500
"Luol Deng","SF","MIN",44,74,118,35,20,53,18,15,8,14,24,14354067
"DeMar DeRozan","SG","SAS",45,1268,1313,441,54,408,475,86,36,199,177,27739975
"Marcus Derrickson","PF","GSW",20,13,33,5,8,5,1,0,1,3,9,3206640
"Cheick Diallo","PF","NOP",4,267,271,67,75,257,33,29,33,49,113,1544951
"Hamidou Diallo","SG","OKC",24,141,165,59,38,59,17,21,10,23,77,838464
"Gorgui Dieng","C","MIN",56,321,377,106,81,230,72,48,41,57,134,15170787
